5.0, 20.0, 16.0, Fitness, 0, Fatigue, 0, Form, 0
7.0, 19.0, 16.0, Fitness, 82.28985248133394, Fatigue, 87.14793582215879, Form, -4.858083340824848
7.0, 20.0, 16.0, Fitness, 82.80676075558789, Fatigue, 88.8331422399429, Form, -6.026381484355014
7.0, 21.0, 16.0, Fitness, 80.83517121378817, Fatigue, 79.94982801594861, Form, 0.8853431978395605
7.0, 22.0, 16.0, Fitness, 78.91052428012655, Fatigue, 71.95484521435375, Form, 6.955679065772799
7.0, 23.0, 16.0, Fitness, 81.81741655917116, Fatigue, 84.85936069291837, Form, -3.041944133747208
7.0, 24.0, 16.0, Fitness, 79.86938283157185, Fatigue, 76.37342462362653, Form, 3.4959582079453213
7.0, 25.0, 16.0, Fitness, 77.96773085939157, Fatigue, 68.73608216126388, Form, 9.231648698127685
7.0, 26.0, 16.0, Fitness, 76.11135631512033, Fatigue, 61.862473945137495, Form, 14.248882369982837
7.0, 27.0, 16.0, Fitness, 74.29918116476033, Fatigue, 55.676226550623745, Form, 18.62295461413658
7.0, 28.0, 16.0, Fitness, 75.31586732750412, Fatigue, 61.80860389556137, Form, 13.507263431942754
7.0, 29.0, 16.0, Fitness, 73.52263239113498, Fatigue, 55.62774350600523, Form, 17.894888885129745
7.0, 30.0, 16.0, Fitness, 71.77209352467938, Fatigue, 50.06496915540471, Form, 21.707124369274666
7.0, 31.0, 16.0, Fitness, 72.32990082171082, Fatigue, 54.57847223986424, Form, 17.751428581846582
8.0, 1.0, 16.0, Fitness, 72.9529984211939, Fatigue, 58.970625015877815, Form, 13.982373405316082
8.0, 2.0, 16.0, Fitness, 73.56126036354642, Fatigue, 62.92356251429003, Form, 10.63769784925639
8.0, 3.0, 16.0, Fitness, 74.15503987870008, Fatigue, 66.48120626286104, Form, 7.673833615839044
8.0, 4.0, 16.0, Fitness, 74.73468178635008, Fatigue, 69.68308563657493, Form, 5.0515961497751505
8.0, 5.0, 16.0, Fitness, 77.71718936286555, Fatigue, 82.71477707291744, Form, -4.997587710051889
8.0, 6.0, 16.0, Fitness, 78.21201818755924, Fatigue, 84.2932993656257, Form, -6.081281178066462
8.0, 7.0, 16.0, Fitness, 78.69506537356973, Fatigue, 85.71396942906313, Form, -7.018904055493394
8.0, 8.0, 16.0, Fitness, 79.16661143610379, Fatigue, 86.99257248615682, Form, -7.825961050053024
8.0, 9.0, 16.0, Fitness, 80.6150254495299, Fatigue, 92.29331523754114, Form, -11.678289788011242
8.0, 10.0, 16.0, Fitness, 81.04085817692204, Fatigue, 92.91398371378702, Form, -11.873125536864976
8.0, 11.0, 16.0, Fitness, 81.05655202985247, Fatigue, 91.79258534240832, Form, -10.736033312555847
8.0, 12.0, 16.0, Fitness, 79.12663412437979, Fatigue, 82.61332680816749, Form, -3.4866926837876946
8.0, 13.0, 16.0, Fitness, 77.24266664522789, Fatigue, 74.35199412735074, Form, 2.8906725178771495
8.0, 14.0, 16.0, Fitness, 79.63688886796055, Fatigue, 84.69679471461566, Form, -5.059905846655113
8.0, 15.0, 16.0, Fitness, 77.74077246634245, Fatigue, 76.2271152431541, Form, 1.5136572231883463
8.0, 16.0, 16.0, Fitness, 78.34861121714381, Fatigue, 78.9314037188387, Form, -0.5827925016948825
8.0, 17.0, 16.0, Fitness, 79.60459666435467, Fatigue, 84.14826334695482, Form, -4.543666682600147
8.0, 18.0, 16.0, Fitness, 77.70924912472718, Fatigue, 75.73343701225934, Form, 1.9758121124678354
8.0, 19.0, 16.0, Fitness, 75.85902890747177, Fatigue, 68.1600933110334, Form, 7.698935596438361
8.0, 20.0, 16.0, Fitness, 79.91000440967483, Fatigue, 85.94408397993007, Form, -6.034079570255244
8.0, 21.0, 16.0, Fitness, 80.41214716182543, Fatigue, 87.44967558193706, Form, -7.037528420111627
8.0, 22.0, 16.0, Fitness, 78.49757222940102, Fatigue, 78.70470802374335, Form, -0.2071357943423351
8.0, 23.0, 16.0, Fitness, 79.17620146203433, Fatigue, 81.53423722136901, Form, -2.3580357593346832
8.0, 24.0, 16.0, Fitness, 79.81486333198589, Fatigue, 83.98081349923211, Form, -4.165950167246223
8.0, 25.0, 16.0, Fitness, 80.98593801455766, Fatigue, 88.4827321493089, Form, -7.496794134751241
8.0, 26.0, 16.0, Fitness, 79.05770139516343, Fatigue, 79.63445893437802, Form, -0.576757539214583
8.0, 27.0, 16.0, Fitness, 79.58251802861193, Fatigue, 81.78101304094021, Form, -2.19849501232828
8.0, 28.0, 16.0, Fitness, 82.36388664697832, Fatigue, 93.2429117368462, Form, -10.87902508986788
8.0, 30.0, 16.0, Fitness, 83.83141315538359, Fatigue, 98.31862056316157, Form, -14.487207407777987
8.0, 31.0, 16.0, Fitness, 81.83542712787445, Fatigue, 88.48675850684542, Form, -6.651331378970966
9.0, 1.0, 16.0, Fitness, 82.62505981530602, Fatigue, 91.13808265616088, Form, -8.513022840854859
9.0, 2.0, 16.0, Fitness, 82.82446315303683, Fatigue, 91.12427439054478, Form, -8.299811237507953
9.0, 3.0, 16.0, Fitness, 84.42388069701215, Fatigue, 97.0118469514903, Form, -12.587966254478147
9.0, 4.0, 16.0, Fitness, 82.41378829946424, Fatigue, 87.31066225634127, Form, -4.89687395687703
9.0, 5.0, 16.0, Fitness, 81.77774572090557, Fatigue, 84.14959603070714, Form, -2.371850309801573
